titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
,Leonardo Padura,"Drama, Histórico, Novela, Realista",Mario Conde,,https://ww3.lectulandia.co/book/morir-en-la-arena/,Drama,2026-09-15
,Frank Norris,"Drama, Novela",,,https://ww3.lectulandia.co/book/avaricia-frank-norris/,Drama,2026-09-15
,El Caballero Audaz,"Drama, Novela",,,https://ww3.lectulandia.co/book/por-su-propia-mano/,Drama,2026-09-15
,Severiano Fernández Nicolás,"Drama, Novela",,,https://ww3.lectulandia.co/book/despues-de-la-tormenta-severiano-fernandez-nicolas/,Drama,2026-09-15
,Michael Bible,"Drama, Novela",,,https://ww3.lectulandia.co/book/las-horas-antiguas/,Drama,2026-09-15
,Nayareth Pino Luna,"Drama, Novela",,,https://ww3.lectulandia.co/book/mientras-dormias-cantabas/,Drama,2026-09-15
,Paolo Cognetti,"Drama, Novela",,,https://ww3.lectulandia.co/book/en-el-valle/,Drama,2026-09-15
,Vanesa Romero,"Drama, Intriga, Novela",,,https://ww3.lectulandia.co/book/a-solas-conmigo/,Drama,2026-09-15
,Manuel Rivas,"Drama, Relato",,,https://ww3.lectulandia.co/book/que-me-queres-amor/,Drama,2026-09-15
,Maxence Van der Meersch,"Drama, Novela",La joven pobre,,https://ww3.lectulandia.co/book/la-companera/,Drama,2026-09-15
,Joyce Carol Oates,"Drama, Humor, Novela",,,https://ww3.lectulandia.co/book/a-media-luz-joyce-carol-oates/,Drama,2026-09-15
,Jonathan Coe,"Drama, Novela, Sátira",,,https://ww3.lectulandia.co/book/bournville/,Drama,2026-09-15
,Manuel Bretón de los Herreros,"Drama, Teatro",,,https://ww3.lectulandia.co/book/obras-escogidas-tomo-primero/,Drama,2026-09-15
,Elena Garro,"Drama, Novela",,,https://ww3.lectulandia.co/book/ines/,Drama,2026-09-15
,Giuseppe Maria Lo Duca,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-dolce-vita/,Drama,2026-09-15
,Berenice Andrade Medina,"Drama, Humor, Novela",,,https://ww3.lectulandia.co/book/nadie-recuerda-su-propia-muerte/,Drama,2026-09-15
,Clara Fuertes,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/el-gran-dragon-negro/,Drama,2026-09-15
,Margarita Leoz,"Drama, Novela",,,https://ww3.lectulandia.co/book/lo-que-permanece-margarita-leoz/,Drama,2026-09-15
,Baltasar Porcel,"Aventuras, Drama, Novela",,,https://ww3.lectulandia.co/book/las-manzanas-de-oro/,Drama,2026-09-15
,Georges Bernanos,"Drama, Novela",,,https://ww3.lectulandia.co/book/nueva-historia-de-mouchette/,Drama,2026-09-15
,John Steinbeck,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/las-uvas-de-la-ira-colec-reno/,Drama,2026-09-15
,Angélica Morales,"Drama, Intriga, Novela, Policíaco",,,https://ww3.lectulandia.co/book/estas-en-mis-ojos/,Drama,2026-09-15
,Alejandra Kamiya,"Drama, Relato, Romántico",,,https://ww3.lectulandia.co/book/el-sol-mueve-la-sombra-de-las-cosas-quietas/,Drama,2026-09-15
,Jesús Moncada,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/camino-de-sirga/,Drama,2026-09-15
,Amélie Nothomb,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-libro-de-las-hermanas/,Drama,2026-09-15
,Sash Bischoff,"Drama, Novela",,,https://ww3.lectulandia.co/book/suave-es-la-furia/,Drama,2026-09-15
,Heinz G. Konsalik,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/natacha/,Drama,2026-09-15
,Sergio Mira Jordán,"Drama, Novela",,,https://ww3.lectulandia.co/book/bajo-las-piedras/,Drama,2026-09-15
,Abraham Argüelles,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/el-frio-llama-mi-nombre/,Drama,2026-09-15
,Jenny Erpenbeck,"Drama, Novela",,,https://ww3.lectulandia.co/book/kairos/,Drama,2026-09-15
,Berna González Harbour,"Drama, Novela",,,https://ww3.lectulandia.co/book/que-fue-de-los-lighthouse/,Drama,2026-09-15
,Muriel Barbery,"Drama, Novela",,,https://ww3.lectulandia.co/book/una-hora-de-fervor/,Drama,2026-09-15
,Priscilla Morris,"Bélico, Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/las-mariposas-de-sarajevo/,Drama,2026-09-15
,Maica Gorgal,"Drama, Histórico, Novela, Romántico",,,https://ww3.lectulandia.co/book/la-casa-de-la-mina/,Drama,2026-09-15
,Claire Fuller,"Drama, Novela",,,https://ww3.lectulandia.co/book/nuestros-dias-seran-infinitos/,Drama,2026-09-15
,Joseph Conrad,"Aventuras, Drama, Relato",,,https://ww3.lectulandia.co/book/tifon-y-otras-historias/,Drama,2026-09-15
,Mercedes Duque Espiau,"Drama, Novela",,,https://ww3.lectulandia.co/book/animales-pequenos/,Drama,2026-09-15
,Olalla García,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/pecado-nefando/,Drama,2026-09-15
,Xavier Bosch,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/diagonal-manhattan/,Drama,2026-09-15
